current_state,DoublePlay,Error,GroundOut,HBP/CatInt,HR,K,LineOut/InfFly,Triple,Walk,LongSingle,MediumSingle,ShortSingle,ShortDouble,LongDouble,LongFly,MediumFly,ShortFly
0000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0001,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0010,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0011,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0100,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0101,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0110,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
0111,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1001,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1010,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1011,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1100,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1101,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1110,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1111,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2001,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2010,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2011,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2100,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2101,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2110,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
2111,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
